order_id,customer_id,product_id,order_date,quantity,total_amount
1001,1,101,2023-07-10,1,1200.00
1002,1,102,2023-07-10,2,50.00
1003,2,106,2023-07-15,1,1800.00
1004,3,104,2023-07-20,1,350.00
1005,2,109,2023-07-22,1,200.00
1006,4,103,2023-08-01,1,85.00
1007,1,105,2023-08-05,3,135.00
1008,5,108,2023-08-10,1,550.00
1009,6,101,2023-08-12,1,1200.00
1010,3,107,2023-08-15,1,120.00
1011,7,110,2023-08-20,2,300.00
1012,2,102,2023-08-25,1,25.00
1013,8,104,2023-09-01,1,350.00
1014,4,109,2023-09-05,1,200.00
1015,1,110,2023-09-10,1,150.00
1016,6,103,2023-09-15,1,85.00
